data_sessao;tipo_materia;numero_materia;ano_materia;ementa_curta;nome_vereador;voto
2026-01-26;PROJETO DE LEI DO EXECUTIVO;7;2026;PRORROGA O PRAZO PARA ADESÃO AO PROGRAMA MUNICIPAL DE RECUPERAÇÃO FISCAL DE CAMPO LARGO - REFIS 2025, INSTITUÍDO PELA LEI MUNICIAL Nº 3903, DE 25 DE SETEMBRO...;ALEXANDRE GUIMARÃES;Não Votou
2026-01-26;PROJETO DE LEI DO EXECUTIVO;7;2026;PRORROGA O PRAZO PARA ADESÃO AO PROGRAMA MUNICIPAL DE RECUPERAÇÃO FISCAL DE CAMPO LARGO - REFIS 2025, INSTITUÍDO PELA LEI MUNICIAL Nº 3903, DE 25 DE SETEMBRO...;ANDRÉ GABARDO;Sim
2026-01-26;PROJETO DE LEI DO EXECUTIVO;7;2026;PRORROGA O PRAZO PARA ADESÃO AO PROGRAMA MUNICIPAL DE RECUPERAÇÃO FISCAL DE CAMPO LARGO - REFIS 2025, INSTITUÍDO PELA LEI MUNICIAL Nº 3903, DE 25 DE SETEMBRO...;ATHOS MARTINEZ;Sim
2026-01-26;PROJETO DE LEI DO EXECUTIVO;7;2026;PRORROGA O PRAZO PARA ADESÃO AO PROGRAMA MUNICIPAL DE RECUPERAÇÃO FISCAL DE CAMPO LARGO - REFIS 2025, INSTITUÍDO PELA LEI MUNICIAL Nº 3903, DE 25 DE SETEMBRO...;GENÉSIO DA VITAL;Sim
2026-01-26;PROJETO DE LEI DO EXECUTIVO;7;2026;PRORROGA O PRAZO PARA ADESÃO AO PROGRAMA MUNICIPAL DE RECUPERAÇÃO FISCAL DE CAMPO LARGO - REFIS 2025, INSTITUÍDO PELA LEI MUNICIAL Nº 3903, DE 25 DE SETEMBRO...;GUSTAVO TORRES;Sim
2026-01-26;PROJETO DE LEI DO EXECUTIVO;7;2026;PRORROGA O PRAZO PARA ADESÃO AO PROGRAMA MUNICIPAL DE RECUPERAÇÃO FISCAL DE CAMPO LARGO - REFIS 2025, INSTITUÍDO PELA LEI MUNICIAL Nº 3903, DE 25 DE SETEMBRO...;JUNIOR ANDREASSA;Sim
2026-01-26;PROJETO DE LEI DO EXECUTIVO;7;2026;PRORROGA O PRAZO PARA ADESÃO AO PROGRAMA MUNICIPAL DE RECUPERAÇÃO FISCAL DE CAMPO LARGO - REFIS 2025, INSTITUÍDO PELA LEI MUNICIAL Nº 3903, DE 25 DE SETEMBRO...;LUIZ SCERVENSKI;Sim
2026-01-26;PROJETO DE LEI DO EXECUTIVO;7;2026;PRORROGA O PRAZO PARA ADESÃO AO PROGRAMA MUNICIPAL DE RECUPERAÇÃO FISCAL DE CAMPO LARGO - REFIS 2025, INSTITUÍDO PELA LEI MUNICIAL Nº 3903, DE 25 DE SETEMBRO...;POLACO PRETO;Sim
2026-01-26;PROJETO DE LEI DO EXECUTIVO;7;2026;PRORROGA O PRAZO PARA ADESÃO AO PROGRAMA MUNICIPAL DE RECUPERAÇÃO FISCAL DE CAMPO LARGO - REFIS 2025, INSTITUÍDO PELA LEI MUNICIAL Nº 3903, DE 25 DE SETEMBRO...;ROGERIO DAS TINTAS;Sim
2026-01-26;PROJETO DE LEI DO EXECUTIVO;7;2026;PRORROGA O PRAZO PARA ADESÃO AO PROGRAMA MUNICIPAL DE RECUPERAÇÃO FISCAL DE CAMPO LARGO - REFIS 2025, INSTITUÍDO PELA LEI MUNICIAL Nº 3903, DE 25 DE SETEMBRO...;ROGÉRIO DA VIAÇÃO;Sim
2026-01-26;PROJETO DE LEI DO EXECUTIVO;7;2026;PRORROGA O PRAZO PARA ADESÃO AO PROGRAMA MUNICIPAL DE RECUPERAÇÃO FISCAL DE CAMPO LARGO - REFIS 2025, INSTITUÍDO PELA LEI MUNICIAL Nº 3903, DE 25 DE SETEMBRO...;SARGENTO LEANDRO CHRESTANI;Sim
2026-01-26;PROJETO DE LEI DO EXECUTIVO;7;2026;PRORROGA O PRAZO PARA ADESÃO AO PROGRAMA MUNICIPAL DE RECUPERAÇÃO FISCAL DE CAMPO LARGO - REFIS 2025, INSTITUÍDO PELA LEI MUNICIAL Nº 3903, DE 25 DE SETEMBRO...;SENSEI CLOVIS;Sim
2026-01-26;PROJETO DE LEI DO EXECUTIVO;7;2026;PRORROGA O PRAZO PARA ADESÃO AO PROGRAMA MUNICIPAL DE RECUPERAÇÃO FISCAL DE CAMPO LARGO - REFIS 2025, INSTITUÍDO PELA LEI MUNICIAL Nº 3903, DE 25 DE SETEMBRO...;VICTOR BINI;Sim
