id_sapl;slug_codigo;nome_parlamentar;nome_oficial;partido_sigla;partido_nome;foto_url;link_sapl;sessoes_ordinarias;presencas;faltas_com_justificativa;faltas_sem_justificativa;faltas_totais;percentual_faltas;taxa_presenca;votos_sim;votos_nao;votos_abstencao;presidente_nao_votou;nao_votou_nao_era_presidente;votos_ausente;votos_outro;votos_total_registros;projetos_propostos;projetos_aprovados;projetos_rejeitados;projetos_em_tramitacao;projetos_por_categoria
47;rogerio-das-tintas;ROGERIO DAS TINTAS;ROGÉRIO BAUMEL;PL;PARTIDO LIBERAL;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/47/rogerio-das-tintas.png;https://sapl.campolargo.pr.leg.br/parlamentar/47;26;26;0;0;0;0,00;100,00;1399;5;0;0;0;0;0;1404;4;1;0;3;Homenagens, nomes e datas:1 | Cultura, esporte e lazer:1 | Meio ambiente e animais:1 | Iluminação e serviços urbanos:1
49;genesio-da-vital;GENÉSIO DA VITAL;GENÉSIO FRANCISCO OLIVEIRA DOS SANTOS;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/49/genesio-da-vital.png;https://sapl.campolargo.pr.leg.br/parlamentar/49;26;26;0;0;0;0,00;100,00;1399;5;0;0;0;0;0;1404;7;5;0;2;Homenagens, nomes e datas:5 | Cultura, esporte e lazer:1 | Outros:1
50;alexandre-guimaraes;ALEXANDRE GUIMARÃES;ALEXANDRE MARCEL KUSTER GUIMARÃES;PDT;Partido Democrático Trabalhista;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/50/alexandre-g.png;https://sapl.campolargo.pr.leg.br/parlamentar/50;26;26;0;0;0;0,00;100,00;12;2;0;1390;0;0;0;1404;2;1;0;1;Homenagens, nomes e datas:2
51;andre-gabardo;ANDRÉ GABARDO;ANDRÉ TREVISAN GABARDO;NOVO;NOVO;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/51/andre-gabardo.png;https://sapl.campolargo.pr.leg.br/parlamentar/51;26;25;1;0;1;3,85;96,15;1332;4;0;0;1;0;0;1337;4;3;0;1;Homenagens, nomes e datas:4
53;luiz-scervenski;LUIZ SCERVENSKI;LUIZ CARLOS SCERVENSKI JUNIOR;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/53/luiz-scervenski.png;https://sapl.campolargo.pr.leg.br/parlamentar/53;26;26;0;0;0;0,00;100,00;1399;5;0;0;0;0;0;1404;8;7;0;1;Homenagens, nomes e datas:2 | Saúde:2 | Cultura, esporte e lazer:1 | Outros:3
55;sargento-leandro-chrestani;SARGENTO LEANDRO CHRESTANI;LEANDRO CHRESTANI;SDD;SOLIDARIEDADE;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/55/sgt.-chrestani.png;https://sapl.campolargo.pr.leg.br/parlamentar/55;26;26;0;0;0;0,00;100,00;1400;4;0;0;0;0;0;1404;7;2;0;5;Homenagens, nomes e datas:2 | Educação:4 | Outros:1
56;polaco-preto;POLACO PRETO;JOÃO ADÃO JASKIEVICZ JUNIOR;PSD;Partido Social Democratico;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/56/polaco-preto.png;https://sapl.campolargo.pr.leg.br/parlamentar/56;26;25;1;0;1;3,85;96,15;1335;4;0;0;0;0;0;1339;13;7;0;6;Homenagens, nomes e datas:4 | Saúde:1 | Educação:1 | Cultura, esporte e lazer:1 | Desenvolvimento, moradia e agricultura:1 | Administração e finanças:1 | Outros:4
57;rogerio-da-viacao;ROGÉRIO DA VIAÇÃO;PAULO ROGÉRIO ALVES;PSD;Partido Social Democratico;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/57/rogerio-da-viacao.png;https://sapl.campolargo.pr.leg.br/parlamentar/57;26;26;0;0;0;0,00;100,00;1400;4;0;0;0;0;0;1404;5;3;0;2;Homenagens, nomes e datas:1 | Educação:1 | Cultura, esporte e lazer:1 | Desenvolvimento, moradia e agricultura:1 | Outros:1
58;rafael-freitas;RAFAEL FREITAS;RAFAEL DIEGO DE FREITAS;UNIÃO;União Brasil;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/58/gm-rafael.png;https://sapl.campolargo.pr.leg.br/parlamentar/58;26;26;0;0;0;0,00;100,00;1398;6;0;0;0;0;0;1404;8;4;0;4;Homenagens, nomes e datas:1 | Saúde:1 | Meio ambiente e animais:4 | Outros:2
59;victor-bini;VICTOR BINI;VICTOR AUGUSTO BINI;UNIÃO;União Brasil;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/59/victor-bini.png;https://sapl.campolargo.pr.leg.br/parlamentar/59;26;26;0;0;0;0,00;100,00;1399;5;0;0;0;0;0;1404;4;4;0;0;Homenagens, nomes e datas:2 | Outros:2
