sessao_id,item_ordem_id,resultado,materia_id,numero,ano,tipo_sigla,tipo_descricao,ementa,tema_proposto,classificador,revisada_por_humano,fonte_oficial
769,28847,UNANIMIDADE,25503,1,2026,ECOM,ELEIÇÃO DE COMISSÕES,ELEIÇÃO DOS MEMBROS DAS COMISSÕES PERMANENTES DA CAMARA MUNICIPAL DE CAMPO LARGO - 2ª SESSÃO LEGISLATIVA DA 41ª LEGISLATURA (2026),Outros,"IA, por regras temáticas documentadas",não,https://sapl.campolargo.pr.leg.br/materia/25503
769,28848,UNANIMIDADE,25501,2,2026,PLE,PROJETO DE LEI DO EXECUTIVO,"ALTERA OS DISPOSITIVOS DA LEI MUNICIPAL Nº 2353, DE 22 DE DEZEMBRO DE 2011, QUE INSTITUIU O NOVO PLANO DE CARGOS E VENCIMENTOS DOS SERVIDORES PÚBLICOS DO MUNICÍPIO DE CAMPO LARGO, CONFORME ESPECIFICA.

***COM REGIME DE URGÊNCIA***",Administração e finanças,"IA, por regras temáticas documentadas",não,https://sapl.campolargo.pr.leg.br/materia/25501
769,28849,UNANIMIDADE,25499,6,2026,PLE,PROJETO DE LEI DO EXECUTIVO,"ALTERA DISPOSITIVOS DA LEI MUNICIPAL Nº 2347 DE 22 DE NOVEMBRO DE 2011, QUE DISPÕE SOBRE O NOVO ESTATUTO DOS SERVIDORES DE CAMPO LARGO, CONFORME ESPECÍFICA.

***COM REGIME DE URGÊNCIA***",Administração e finanças,"IA, por regras temáticas documentadas",não,https://sapl.campolargo.pr.leg.br/materia/25499
769,28850,UNANIMIDADE,25502,8,2026,PLE,PROJETO DE LEI DO EXECUTIVO,"CONCEDE AUMENTO SALARIAL AOS PROFISSIONAIS DO MAGISTÉRIO DO MUNICÍPIO DE CAMPO LARGO, CONFORME ESPECIFÍCA.

***COM REGIME DE URGÊNCIA***",Educação,"IA, por regras temáticas documentadas",não,https://sapl.campolargo.pr.leg.br/materia/25502
769,28851,UNANIMIDADE,25505,1,2026,PR,PROJETO DE RESOLUÇÃO,"DISPÕE SOBRE A ABERTURA DE CRÉDITO ADICIONAL SUPLEMENTAR NO ORÇAMENTO DA CÂMARA MUNICIPAL DE CAMPO LARGO/PR, PARA O EXERCÍCI FINANCEIRO DE 2026, CONFORME ESPECIFICA.

***COM REGIME DE URGÊNCIA***",Administração e finanças,"IA, por regras temáticas documentadas",não,https://sapl.campolargo.pr.leg.br/materia/25505
770,28862,UNANIMIDADE,25576,1,2026,VRC,VOTAÇÃO REQUERIMENTOS EM CONJUNTO,VOTAÇÃO ENGLOBADA DE TODOS REQUERIMENTOS.,Outros,"IA, por regras temáticas documentadas",não,https://sapl.campolargo.pr.leg.br/materia/25576
770,28863,UNANIMIDADE,25550,76,2026,REQ,REQUERIMENTO,"SOLICITAR A SUBSTITUIÇÃO DA LIXEIRA COMUNITÁRIA LOCALIZADA NA ESTRADA DO SÃO PEDRO, NO DISTRITO DE SÃO SILVESTRE.",Iluminação e serviços urbanos,"IA, por regras temáticas documentadas",não,https://sapl.campolargo.pr.leg.br/materia/25550
770,28864,UNANIMIDADE,25560,90,2026,REQ,REQUERIMENTO,"SOLICITAR MELHORIAS NA ILUMINAÇÃO PÚBLICA DA RUA CABRAL, LOCALIZADA NO JARDIM SÃO VICENTE.",Iluminação e serviços urbanos,"IA, por regras temáticas documentadas",não,https://sapl.campolargo.pr.leg.br/materia/25560
770,28865,UNANIMIDADE,25561,91,2026,REQ,REQUERIMENTO,SOLICITAR A CONSTRUÇÃO DE UMA CALÇADA LIGANDO A AVENIDA PREFEITO MARCELO PUPPI À RUA PARAÍBA.,"Ruas, trânsito e transporte","IA, por regras temáticas documentadas",não,https://sapl.campolargo.pr.leg.br/materia/25561
770,28866,UNANIMIDADE,25562,93,2026,REQ,REQUERIMENTO,"SOLICITAR A REALIZAÇÃO DE DRAGAGEM DO RIO LOCALIZADO NA RUA SÍLVIO DALLAGRANA, NO TRECHO AO LADO DA ESTAÇÃO DE TRATAMENTO DE ESGOTO, ESTENDENDO-SE ATÉ A REPRESA DO PASSAÚNA.",Iluminação e serviços urbanos,"IA, por regras temáticas documentadas",não,https://sapl.campolargo.pr.leg.br/materia/25562
770,28867,UNANIMIDADE,25541,65,2026,REQ,REQUERIMENTO,"SOLICITA A INSTALAÇÃO DE REDUTOR DE VELOCIDADE NA RUA SÃO PAULO, NO BAIRRO JARDIM ESMERALDA, NESTE MUNICÍPIO.","Ruas, trânsito e transporte","IA, por regras temáticas documentadas",não,https://sapl.campolargo.pr.leg.br/materia/25541
770,28868,UNANIMIDADE,25542,66,2026,REQ,REQUERIMENTO,"SOLICITANDO O REPERFILAMENTO ASFÁLTICO RUA JOÃO DE JESUS MACHADO EM TODA A SUA EXTENSÃO, NO BAIRRO BATEIAS, NESTE MUNICÍPIO.","Ruas, trânsito e transporte","IA, por regras temáticas documentadas",não,https://sapl.campolargo.pr.leg.br/materia/25542
770,28869,UNANIMIDADE,25543,67,2026,REQ,REQUERIMENTO,"SOLICITA A AMPLIAÇÃO DOS HORÁRIOS DO TRANSPORTE COLETIVO PARA A LINHA DE ÔNIBUS PRÓXIMO A UNIDADE DA MULHER NA RUA HARROLD HEIN, VILA BANCÁRIA, NESTE MUNICÍPIO.","Ruas, trânsito e transporte","IA, por regras temáticas documentadas",não,https://sapl.campolargo.pr.leg.br/materia/25543
770,28870,UNANIMIDADE,25549,73,2026,REQ,REQUERIMENTO,"MUNICÍPIO SOLICITANDO A INSTALAÇÃO DE REDUTOR DE VELOCIDADE (LOMBADA) NA RUA EUCLIDES DE ANDRADE, NO LOTEAMENTO SANTA RITA (CONFORME MAPA ABAIXO), NESTE MUNICÍPIO.","Ruas, trânsito e transporte","IA, por regras temáticas documentadas",não,https://sapl.campolargo.pr.leg.br/materia/25549
770,28871,UNANIMIDADE,25516,40,2026,REQ,REQUERIMENTO,"PAVIMENTAÇÃO COM PEDRAS (CAMINHO DAS PEDRAS) EM TODA EXTENSÃO DA RUA NOSSA SENHORA DO MONTE CLARO, BAIRRO: COLÔNIA REVIER, FERRARIA.","Ruas, trânsito e transporte","IA, por regras temáticas documentadas",não,https://sapl.campolargo.pr.leg.br/materia/25516
770,28872,UNANIMIDADE,25517,41,2026,REQ,REQUERIMENTO,"INSTALACÃO DE TELA ALAMBRADO COM ALTURA DE 1,2 METRO NO ENTORNO DA PISTA DE SKATE DO PARQUE NEWTON PUPPI.","Cultura, esporte e lazer","IA, por regras temáticas documentadas",não,https://sapl.campolargo.pr.leg.br/materia/25517
