id_sapl;slug_codigo;nome_oficial;nome_parlamentar;partido;partido_sigla;partido_nome;foto_url;apelidos;ativo_2026;link_sapl
47;rogerio-das-tintas;ROGÉRIO BAUMEL;ROGERIO DAS TINTAS;;PL;PARTIDO LIBERAL;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/47/rogerio-das-tintas.png;ROGÉRIO BAUMEL | ROGERIO DAS TINTAS;true;https://sapl.campolargo.pr.leg.br/parlamentar/47
49;genesio-da-vital;GENÉSIO FRANCISCO OLIVEIRA DOS SANTOS;GENÉSIO DA VITAL;;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/49/genesio-da-vital.png;GENÉSIO DA VITAL | GENÉSIO FRANCISCO OLIVEIRA DOS SANTOS;true;https://sapl.campolargo.pr.leg.br/parlamentar/49
50;alexandre-guimaraes;ALEXANDRE MARCEL KUSTER GUIMARÃES;ALEXANDRE GUIMARÃES;;PDT;Partido Democrático Trabalhista;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/50/alexandre-g.png;ALEXANDRE GUIMARÃES | ALEXANDRE MARCEL KUSTER GUIMARÃES;true;https://sapl.campolargo.pr.leg.br/parlamentar/50
51;andre-gabardo;ANDRÉ TREVISAN GABARDO;ANDRÉ GABARDO;;NOVO;NOVO;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/51/andre-gabardo.png;ANDRÉ GABARDO | ANDRÉ TREVISAN GABARDO;true;https://sapl.campolargo.pr.leg.br/parlamentar/51
53;luiz-scervenski;LUIZ CARLOS SCERVENSKI JUNIOR;LUIZ SCERVENSKI;;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/53/luiz-scervenski.png;LUIZ CARLOS SCERVENSKI JUNIOR | LUIZ SCERVENSKI;true;https://sapl.campolargo.pr.leg.br/parlamentar/53
55;sargento-leandro-chrestani;LEANDRO CHRESTANI;SARGENTO LEANDRO CHRESTANI;;SDD;SOLIDARIEDADE;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/55/sgt.-chrestani.png;LEANDRO CHRESTANI | SARGENTO LEANDRO CHRESTANI;true;https://sapl.campolargo.pr.leg.br/parlamentar/55
56;polaco-preto;JOÃO ADÃO JASKIEVICZ JUNIOR;POLACO PRETO;;PSD;Partido Social Democratico;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/56/polaco-preto.png;JOÃO ADÃO JASKIEVICZ JUNIOR | POLACO PRETO;true;https://sapl.campolargo.pr.leg.br/parlamentar/56
57;rogerio-da-viacao;PAULO ROGÉRIO ALVES;ROGÉRIO DA VIAÇÃO;;PSD;Partido Social Democratico;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/57/rogerio-da-viacao.png;PAULO ROGÉRIO ALVES | ROGÉRIO DA VIAÇÃO;true;https://sapl.campolargo.pr.leg.br/parlamentar/57
58;rafael-freitas;RAFAEL DIEGO DE FREITAS;RAFAEL FREITAS;;UNIÃO;União Brasil;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/58/gm-rafael.png;RAFAEL DIEGO DE FREITAS | RAFAEL FREITAS;true;https://sapl.campolargo.pr.leg.br/parlamentar/58
59;victor-bini;VICTOR AUGUSTO BINI;VICTOR BINI;;UNIÃO;União Brasil;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/59/victor-bini.png;VICTOR AUGUSTO BINI | VICTOR BINI;true;https://sapl.campolargo.pr.leg.br/parlamentar/59
60;junior-andreassa;DARCI ANTONIO ANDREASSA JUNIOR;JUNIOR ANDREASSA;;PODE;PODEMOS;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/60/junior-andreassa.png;DARCI ANTONIO ANDREASSA JUNIOR | JUNIOR ANDREASSA;true;https://sapl.campolargo.pr.leg.br/parlamentar/60
61;gustavo-torres;LUIZ GUSTAVO TORRES;GUSTAVO TORRES;;REPUBLICANOS;REPUBLICANOS;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/61/gustavo-torres.png;GUSTAVO TORRES | LUIZ GUSTAVO TORRES;true;https://sapl.campolargo.pr.leg.br/parlamentar/61
62;athos-martinez;ATHOS OLIVEIRA DE MARTINEZ;ATHOS MARTINEZ;;PL;PARTIDO LIBERAL;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/62/athos-martinez.png;ATHOS MARTINEZ | ATHOS OLIVEIRA DE MARTINEZ;true;https://sapl.campolargo.pr.leg.br/parlamentar/62
63;sensei-clovis;CLOVIS LUIZ CIPRIANO JUNIOR;SENSEI CLOVIS;;PP;Partido Popular;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/63/sensei-clovis.png;CLOVIS LUIZ CIPRIANO JUNIOR | SENSEI CLOVIS;true;https://sapl.campolargo.pr.leg.br/parlamentar/63
64;tomazina;VALDEMIR INOCENCIO DA ROSA;TOMAZINA;;PDT;Partido Democrático Trabalhista;http://sapl.campolargo.pr.leg.br/media/sapl/public/parlamentar/64/tomazina.png;TOMAZINA | VALDEMIR INOCENCIO DA ROSA;true;https://sapl.campolargo.pr.leg.br/parlamentar/64
